video_id,reason
sQuuemyiA1g,not_found
8ashfLSm3tc,not_found
9A8Xv7UAkOE,not_found
8cshn2IIkbY,not_found
uBE9zLU--DA,not_found
tSCFFKb2aYo,not_found
Dc8uJTrGK9w,not_found
uJVniFV0Jnw,not_found
hpc5DO2dC-4,not_found
7G-pYAtudZM,not_found
Pej48NfVg2I,not_found
Es69hthU6AI,not_found
doOlP7NLUwc,not_found
J8vsP942pxs,disabled
iISY9FgeYpU,not_found
2b-x6VYLHBU,disabled
yLu_M4yiCho,not_found
XPobXjPhMu4,disabled
ywY50GW0ZUg,disabled
cGJCcidYYaY,not_found
#NAME?,not_found
jTiIgC170xs,disabled
uz2C3bQot6o,not_found
V8COJv2dG2g,not_found
L0QHMLx02l4,not_found
1QdNxfI2wTc,disabled
gYZS61BRXW0,not_found
